DATE,NAEXKP01IEQ657S
1997-04-01,4.01569172486021
1997-07-01,2.24529202620345
1997-10-01,2.46598203956205
1998-01-01,1.17283323806606
1998-04-01,2.37021616784262
1998-07-01,4.27795612172594
1998-10-01,-1.86146755215168
1999-01-01,4.52742443572232
1999-04-01,1.06564871682006
1999-07-01,4.86284897012074
1999-10-01,2.61847871491956
2000-01-01,-0.159306563141482
2000-04-01,3.03922381758084
2000-07-01,2.27931669228131
2000-10-01,0.809078057502901
2001-01-01,2.40760569174734
2001-04-01,0.611702746397947
2001-07-01,0.013049974396401
2001-10-01,2.37210080769735
2002-01-01,1.39699195624544
2002-04-01,0.667568014206616
2002-07-01,3.35377607345046
2002-10-01,0.669634033566832
2003-01-01,-1.10051452544809
2003-04-01,0.386007498054018
2003-07-01,1.96693093324135
2003-10-01,4.6191244624286
2004-01-01,-0.472282530542072
2004-04-01,2.12248896408841
2004-07-01,0.408078575511341
2004-10-01,2.00942476971464
2005-01-01,1.29177582555979
2005-04-01,1.71306673353096
2005-07-01,0.0280130345680758
2005-10-01,2.3362225432641
2006-01-01,2.08469321621356
2006-04-01,-0.0632139033148821
2006-07-01,1.30644169897067
2006-10-01,0.27345870461547
2007-01-01,6.09486508380898
2007-04-01,-1.91317552124032
2007-07-01,-2.29112390495126
2007-10-01,5.13031536487667
2008-01-01,-3.96501248057319
2008-04-01,-2.27235422740139
2008-07-01,0.31997804640364
2008-10-01,-4.72404156192918
2009-01-01,-0.141943336492493
2009-04-01,-0.405450562588221
2009-07-01,-0.56101184956541
2009-10-01,-1.41172674494494
2010-01-01,2.52369424398355
2010-04-01,0.00275242666943534
2010-07-01,1.04472211208443
2010-10-01,-0.352490501635211
2011-01-01,-0.138015867733948
2011-04-01,1.09760672724488
2011-07-01,-1.0727823007098
2011-10-01,-0.438070647233686
2012-01-01,0.0135858042968982
2012-04-01,1.29600658766518
2012-07-01,-1.74254887162055
2012-10-01,1.97353050415245
2013-01-01,-2.42778163720948
2013-04-01,2.52324071019533
2013-07-01,2.98680736886028
2013-10-01,-0.812447227818827
2014-01-01,3.53672466917592
2014-04-01,3.55250997504704
2014-07-01,1.45388548252096
2014-10-01,-0.518734638870515
2015-01-01,23.3915343590374
2015-04-01,-2.14085640539581
2015-07-01,3.66656617693637
2015-10-01,0.891084823404839
2016-01-01,-3.91154487839515
2016-04-01,1.28190690535297
2016-07-01,0.20157087134994
2016-10-01,10.9666228591495
2017-01-01,-3.17582057482649
2017-04-01,0.161094420905425
2017-07-01,6.49153711567309
2017-10-01,3.08818532499443
2018-01-01,2.25363375105726
2018-04-01,0.398560207577511
2018-07-01,1.71918383996129
2018-10-01,0.46188311319912
2019-01-01,1.03520684155429
2019-04-01,1.91099052193205
2019-07-01,3.27598131294028
2019-10-01,1.31801740660078
2020-01-01,-2.05441773450137
2020-04-01,-6.06289672772469
